alert,etsy_source_row,etsy_listing_key,etsy_title,etsy_sku,printify_product_id,printify_title,printify_variant_id,printify_sku
ETSY_SKU_NO_PRINTIFY_MATCH,24.0,cada1f49f99d5bc6,"Personalized Hanukkah Table Runner, Family Name Jewish Holiday Decor",ADRKBLUE724,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,25.0,892a83ae4a16b420,"Personalized Christmas Family Name Table Runner, 4 Festive Designs, Optional Napkins",DCC908Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,25.0,892a83ae4a16b420,"Personalized Christmas Family Name Table Runner, 4 Festive Designs, Optional Napkins",DCC728Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,25.0,892a83ae4a16b420,"Personalized Christmas Family Name Table Runner, 4 Festive Designs, Optional Napkins",DCC90,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,25.0,892a83ae4a16b420,"Personalized Christmas Family Name Table Runner, 4 Festive Designs, Optional Napkins",DCC72,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,25.0,892a83ae4a16b420,"Personalized Christmas Family Name Table Runner, 4 Festive Designs, Optional Napkins",BPD90PL8Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,25.0,892a83ae4a16b420,"Personalized Christmas Family Name Table Runner, 4 Festive Designs, Optional Napkins",BPD724Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,25.0,892a83ae4a16b420,"Personalized Christmas Family Name Table Runner, 4 Festive Designs, Optional Napkins",BPD90,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,25.0,892a83ae4a16b420,"Personalized Christmas Family Name Table Runner, 4 Festive Designs, Optional Napkins",AHY904Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,25.0,892a83ae4a16b420,"Personalized Christmas Family Name Table Runner, 4 Festive Designs, Optional Napkins",AHY724Nap,,,,
